#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
297911	1122	5870	107546	111808	-	-	CHML	RAB6A	REP2	RAB6	Reconstituted Complex	physical	Cremers FP (1994)	PUBMED:8294464	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P26374	-	NP_001812	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300372	5870	2801	111808	109063	-	RP11-395P17.5	RAB6A	GOLGA2	RAB6	GM130	Reconstituted Complex	physical	Valsdottir R (2001)	PUBMED:11718716	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q08379	-	NP_001353173|NP_004477|NP_001353175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304338	94122	5870	125121	111808	-	-	SYTL5	RAB6A	slp5	RAB6	Reconstituted Complex	physical	Kuroda TS (2002)	PUBMED:12051743	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TDW5	-	NP_001156806|NP_620135|NP_001156807	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304341	94122	5870	125121	111808	-	-	SYTL5	RAB6A	slp5	RAB6	Affinity Capture-Western	physical	Kuroda TS (2002)	PUBMED:12051743	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TDW5	-	NP_001156806|NP_620135|NP_001156807	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304375	5870	10112	111808	115418	-	-	RAB6A	KIF20A	RAB6	MKLP2|RAB6KIFL	Two-hybrid	physical	Echard A (1998)	PUBMED:9438855	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304376	5870	10112	111808	115418	-	-	RAB6A	KIF20A	RAB6	MKLP2|RAB6KIFL	Affinity Capture-Western	physical	Echard A (1998)	PUBMED:9438855	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304377	23299	5870	116891	111808	RP11-476B13.3	-	BICD2	RAB6A	SMALED2|bA526D8.1	RAB6	Reconstituted Complex	physical	Matanis T (2002)	PUBMED:12447383	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TD16	Q96FU2	NP_056065|NP_001003800	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304378	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Two-hybrid	physical	Matanis T (2002)	PUBMED:12447383	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304379	5870	23299	111808	116891	-	RP11-476B13.3	RAB6A	BICD2	RAB6	SMALED2|bA526D8.1	Two-hybrid	physical	Matanis T (2002)	PUBMED:12447383	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q8TD16	Q96FU2	NP_056065|NP_001003800	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304380	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Reconstituted Complex	physical	Matanis T (2002)	PUBMED:12447383	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304381	5870	23299	111808	116891	-	RP11-476B13.3	RAB6A	BICD2	RAB6	SMALED2|bA526D8.1	Reconstituted Complex	physical	Matanis T (2002)	PUBMED:12447383	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q8TD16	Q96FU2	NP_056065|NP_001003800	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327845	5870	23637	111808	117166	-	HSPC094	RAB6A	RABGAP1	RAB6	GAPCENA|TBC1D11	Two-hybrid	physical	Echard A (2000)	PUBMED:11071909	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q9Y3P9	-	NP_036329	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327846	5870	10112	111808	115418	-	-	RAB6A	KIF20A	RAB6	MKLP2|RAB6KIFL	Two-hybrid	physical	Echard A (2000)	PUBMED:11071909	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327847	5870	10112	111808	115418	-	-	RAB6A	KIF20A	RAB6	MKLP2|RAB6KIFL	Reconstituted Complex	physical	Echard A (2000)	PUBMED:11071909	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
478305	2543529	5870	279947	111808	SPAC4C5.02c	-	ryh1	RAB6A	hos1|sat7	RAB6	Dosage Rescue	genetic	Tatebe H (2010)	PUBMED:21035342	284812	9606	Low Throughput	-	-	Human RAB6 rescues sensitivity to caclium chloride, osmotic stress and temperature stress in a ryh1 null mutant	-	BIOGRID	P17608	-	NP_593249	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	APO:0000087|APO:0000147|APO:0000082	resistance to chemicals|heat sensitivity|osmotic stress resistance	phenotype|phenotype|phenotype	-|-|-	-|-|-	partial rescue|partial rescue|partial rescue	Schizosaccharomyces pombe (972h)	Homo sapiens
663651	1994	5870	108309	111808	-	-	ELAVL1	RAB6A	ELAV1|HUR|Hua|MelG	RAB6	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
827224	5870	75665	111808	217656	-	-	RAB6A	Ccdc64	RAB6	2210403N09Rik|BICDR-1	Affinity Capture-Western	physical	Schlager MA (2010)	PUBMED:20360680	9606	10090	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	A0JNT9	-	NP_001074277	-	-	-	-	-	-	Homo sapiens	Mus musculus
934588	6119	5870	112039	111808	-	-	RPA3	RAB6A	REPA3	RAB6	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35244	A4D105	NP_002938	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
934715	6118	5870	112038	111808	RP4-547C9.3	-	RPA2	RAB6A	REPA2|RP-A p32|RP-A p34|RPA32	RAB6	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P15927	B4DUL2	NP_001342057|NP_002937|NP_001284487|NP_001342058|NP_001273005	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
934842	6117	5870	112037	111808	-	-	RPA1	RAB6A	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	RAB6	Affinity Capture-MS	physical	Marechal A (2014)	PUBMED:24332808	9606	9606	High Throughput	-	-	-	-	BIOGRID	P27694	-	NP_002936|NP_001342049|NP_001342050	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
950774	2286	5870	108576	111808	-	-	FKBP2	RAB6A	FKBP-13|PPIase	RAB6	Reconstituted Complex	physical	Splinter D (2012)	PUBMED:22956769	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P26885	Q53XJ5	NP_004461|NP_001128680|NP_476433	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1040962	5372	5870	111385	111808	-	-	PMM1	RAB6A	Sec53	RAB6	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92871	A0A024R1U5	NP_002667	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059647	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Two-hybrid	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059648	5870	23299	111808	116891	-	RP11-476B13.3	RAB6A	BICD2	RAB6	SMALED2|bA526D8.1	Two-hybrid	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q8TD16	Q96FU2	NP_056065|NP_001003800	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059649	636	5870	107105	111808	RP11-817I4.1	-	BICD1	RAB6A	BICD	RAB6	Two-hybrid	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96G01	A8MVZ6	NP_001003398|NP_001705	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059650	23299	5870	116891	111808	RP11-476B13.3	-	BICD2	RAB6A	SMALED2|bA526D8.1	RAB6	Two-hybrid	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TD16	Q96FU2	NP_056065|NP_001003800	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059651	5870	1639	111808	108007	-	-	RAB6A	DCTN1	RAB6	DAP-150|DP-150|P135	Two-hybrid	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q14203	Q6MZZ3	NP_075408|NP_004073|NP_001177766|NP_001177765|NP_001128513|NP_001128512|NP_001365921|NP_001365920	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059652	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Reconstituted Complex	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059653	5870	10112	111808	115418	-	-	RAB6A	KIF20A	RAB6	MKLP2|RAB6KIFL	Reconstituted Complex	physical	Fuchs E (2006)	PUBMED:16473624	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104989	4952	5870	111006	111808	RP3-454M7.1	-	OCRL	RAB6A	INPP5F|LOCR|NPHL2|OCRL-1|OCRL1	RAB6	Reconstituted Complex	physical	Hyvola N (2006)	PUBMED:16902405	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q01968	-	NP_001305713|NP_000267|NP_001578	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1104992	4952	5870	111006	111808	RP3-454M7.1	-	OCRL	RAB6A	INPP5F|LOCR|NPHL2|OCRL-1|OCRL1	RAB6	Affinity Capture-Western	physical	Hyvola N (2006)	PUBMED:16902405	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q01968	-	NP_001305713|NP_000267|NP_001578	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1178268	58477	5870	121810	111808	PSEC0230	-	SRPRB	RAB6A	APMCF1	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.998862906	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998862906, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9Y5M8	Q549N5	NP_001366242|NP_067026	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1179509	10456	5870	115719	111808	RP11-137P24.1	-	HAX1	RAB6A	HCLSBP1|HS1BP1|SCN3	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.976734918	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.976734918, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	O00165	-	NP_001018238|NP_006109	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180092	55172	5870	120471	111808	-	-	DNAAF2	RAB6A	C14orf104|CILD10|KTU|PF13	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.993522036	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.993522036, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NVR5	-	NP_001077377|NP_060609	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1182737	7048	5870	112906	111808	-	-	TGFBR2	RAB6A	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.993275367	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.993275367, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P37173	D2JYI1|A3QNQ0	NP_003233|NP_001020018	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1190264	79865	5870	122953	111808	UNQ6268/PRO20473	-	TREML2	RAB6A	C6orf76|TLT-2|TLT2|dJ238O23.1	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.992299342	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.992299342, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q5T2D2	-	NP_079083	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1194652	79102	5870	122549	111808	-	-	RNF26	RAB6A	-	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.971517403	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.971517403, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9BY78	-	NP_114404	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1198677	120939	5870	125702	111808	UNQ5927/PRO19821	-	TMEM52B	RAB6A	C12orf59	RAB6	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.943155731	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.943155731, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q4KMG9	-	NP_001073283|NP_694567	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1268474	5870	9230	111808	114661	-	-	RAB6A	RAB11B	RAB6	H-YPT3	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.514229871	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q15907	-	NP_004209	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1268567	375	5870	106870	111808	-	-	ARF1	RAB6A	-	RAB6	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.102913695	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P84077	A0A024R3Q3	NP_001019398|NP_001019397|NP_001649|NP_001019399	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
